Rank,User,Count
1,jiro_saburomaru,4726
2,ryuichiueda,4241
3,blacknon_,3114
4,qwertanus,2287
5,yami_buta,2246
6,grethlen,1188
7,QiToYtkg,1149
8,egpl0,968
9,ytkmns,856
10,eban,724
11,shishimy,597
12,kino___ma,499
13,CareleSmith9,494
14,kazuki_199778,484
15,nogiro_iota,478
16,knrotze,396
17,xztaityozx_001,387
18,RandomWeekday,384
19,nullpopopo,377
20,kuruppo_poppo_,318
21,YToriyama,306
22,cheese_rulez,289
23,3socha,274
24,yukito_2828,272
25,amanoese,260
26,teruteru128,248
27,SR24TozukaAngyo,241
28,kanata201612,238
29,kunst1080,219
30,quon_rst,209
31,papiron,196
32,fujifog,191
33,theoldmoon0602,184
34,obknt,184
34,tacmasi,182
35,theoremoon,181
36,ega_wave,172
37,uluvtu,171
38,duck_yasuhiroki,171
38,satoh_fumiyasu,169
39,math_nobase,164
40,binununn,158
41,t2saras,156
42,venom_d_3,155
43,t_motooka,154
44,hako_bey,148
45,stepney141,146
46,yasu1988taka,144
47,_toku_san,144
47,Bikenekosuke,141
48,midokokemaru,140
49,sesameoil_pro,137
50,dkrqr,136
51,Ag4O4,136
51,ooishi_dog,136
51,kotatsugame_t,130
52,rabdology,124
53,P5mEm,124
53,horagainantou,122
54,Carol_815,122
54,hamukichi_nbr,121
55,127anz,120
56,neunetneucom,115
57,8P2aZMskK2FdUbF,112
58,mazotive,112
58,mutz0623,111
59,1inguini,111
59,kotone_nyt,111
59,systemctl_ryoto,108
60,Logi024tec,102
61,kKanai_,101
62,takion0,96
63,obknnt,96
63,gin_135,90
64,DINER_PREIADES,89
65,HisoNWP,88
66,koala0024,87
67,izumi_reon,86
68,palomax69,86
68,rs_pferd,85
69,Esqrt2,85
69,egpl0_sh_2,85
69,thb_wwwwww,84
70,36kyo,83
71,hiro_poke91,82
72,rsk0315_h4x,82
72,M_1KU,81
73,butackle66,80
74,Mikanixonable,80
74,toby_net,79
75,tallestorange,79
75,robokinoko,76
76,Rabdology,73
77,Nmki_98,73
77,71aa55,72
78,M_4_N_D,71
79,QmanEnobikto,71
79,nros_utq,71
79,fall_murasaki,70
80,nnn1590,70
80,sagatmay,68
81,wataken44,68
81,4ourzer0ei8ht,68
81,nirot1r,65
82,dempacat,65
82,moko2356789,64
83,quon_rst_,64
83,Ore_Not_0zone,64
83,dainivolunteer,64
83,shimesaba_C9,62
84,tTDeforestation,62
84,crazyhacks68k,61
85,kya_ski,59
86,stmtk_yu,59
86,donnay1224,58
87,mikkun_jp,57
88,_uts2,57
88,SR23Araijuku,57
88,_Clay____,56
89,Chroma7p,56
89,man_2_fork,56
89,HK_Shuttle,56
89,Yushima_Chiji,55
90,msr386,55
90,nonsako,55
