2017/1,0
2017/2,0
2017/3,0
2017/4,0
2017/5,0
2017/6,622
2017/7,571
2017/8,326
2017/9,279
2017/10,302
2017/11,181
2017/12,334
2018/1,383
2018/2,540
2018/3,708
2018/4,1247
2018/5,598
2018/6,775
2018/7,1584
2018/8,409
2018/9,780
2018/10,359
2018/11,513
2018/12,819
2019/1,783
2019/2,772
2019/3,924
2019/4,2322
2019/5,4396
2019/6,5959
2019/7,7045
2019/8,3946
2019/9,1816
2019/10,2281
2019/11,1112
2019/12,1497
2020/1,2661
2020/2,3212
2020/3,0
2020/4,0
2020/5,0
2020/6,0
2020/7,0
2020/8,0
2020/9,0
2020/10,0
2020/11,0
2020/12,0
